Favourites, Retweets, Following, Followers, Reputation, Hashtag, Fake, class
7057,775,1369,1503,1,19022,0,0
1728,1,250,246,2,1869,1,0
72,0,295,38,0,13624,1,1
39574,128,1694,361,1,74230,1,0
646426,775,2326,1993,18,625435,1,0
9418,775,22,14,0,5807,1,0
34536,128,187,23,0,4608,1,0
387,775,144,5,0,117,1,0
37967,0,1220,395,14,7312,1,1
29952,0,374,402,0,43722,0,1
8070,775,226,204,1,1824,1,0
30737,3,753,1023,1,27463,0,1
6017,775,621,58,0,2141,1,0
529,0,191,106,5,2121,1,0
4582,0,22,39,0,1273,0,1
54469,91,509,1377,25,158731,0,0
8314,775,160,104,0,6005,1,0
57568,355,945,1310,12,74129,0,0
79839,5,3016,321,2,74768,1,0
72757,5,5168,8935,4,103056,0,0
42344,775,4552,1310,0,13833,1,0
38686,0,981,766,0,12745,1,1
10292,775,142,274,0,12163,0,0
94791,10,898,93,0,18922,1,0
137616,36,5007,387,0,69307,1,0
13958,775,41,11,0,9129,1,0
5362,772,447,451,2,18427,0,0
3766,0,554,450,6,10093,1,1
9979,71,263,104,0,4949,1,1
268,0,449,15,0,266,1,0
